Date,Time_Hour,Month,Area Name,Road/Intersection Name,Event,Spectator_Count,Traffic Volume,Average Speed,Travel Time Index,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity,Congestion Level,Road_DNA_Score,Reroute_Reason
2025-03-26,21,3,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs MI,33667,62070,16.96,2.15,85.04,3,171.64,87.88,87.86,98.1,1804,Clear,Yes,Medium,58,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 33,667 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (21:00). Road DNA: 58. Reroute via Richmond Road flyover."
2025-05-08,17,5,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs SRH,29548,111548,7.15,2.85,93.79,1,155.08,77.17,82.27,90.23,1460,Light Rain,No,Severe,82,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 29,548 spectators). Heavy crowd movement on MG Road during peak match hours (17:00). Road DNA: 82. Reroute via Richmond Road flyover."
2025-04-07,16,4,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs MI,32589,62599,22.14,1.98,80.42,4,181.95,79.25,70.19,95.27,1956,Thunderstorm,Yes,Medium,62,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 32,589 spectators). Heavy crowd movement on Kasturba Road during peak match hours (16:00). Road DNA: 62. Reroute via Richmond Road flyover."
2025-03-16,18,3,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs DC,30617,125296,11.4,3.45,111.42,2,172.88,65.5,85.89,95.55,1735,Thunderstorm,Yes,High,86,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 30,617 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (18:00). Road DNA: 86. Reroute via Richmond Road flyover."
2025-04-26,17,4,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs CSK,30896,100610,8.53,4.33,93.61,3,136.68,65.47,77.23,99.76,2631,Clear,No,High,94,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 30,896 spectators). Heavy crowd movement on Richmond Road during peak match hours (17:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-03-01,20,3,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs DC,28068,89757,7.94,3.9,92.54,0,169.96,71.3,85.73,88.71,2049,Light Rain,No,Severe,78,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 28,068 spectators). Heavy crowd movement on Cubbon Road during peak match hours (20:00). Road DNA: 78. Reroute via Richmond Road flyover."
2025-03-04,17,3,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs KKR,32545,129095,10.57,2.99,101.86,3,173.24,81.92,78.13,97.47,1386,Heavy Rain,No,Severe,81,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 32,545 spectators). Heavy crowd movement on Richmond Road during peak match hours (17:00). Road DNA: 81. Reroute via Richmond Road flyover."
2025-03-28,22,3,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs KKR,29336,127974,8.51,3.96,96.33,3,132.89,87.86,70.54,88.83,816,Light Rain,No,Severe,78,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 29,336 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (22:00). Road DNA: 78. Reroute via Richmond Road flyover."
2025-03-26,22,3,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs LSG,32738,86041,7.69,3.84,106.73,3,126.87,72.52,84.09,92.77,2331,Light Rain,No,Severe,84,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 32,738 spectators). Heavy crowd movement on Richmond Road during peak match hours (22:00). Road DNA: 84. Reroute via Richmond Road flyover."
2025-03-16,20,3,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs SRH,29668,96103,8.91,3.29,110.87,3,169.05,89.83,88.34,92.62,3243,Light Rain,No,Severe,82,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 29,668 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (20:00). Road DNA: 82. Reroute via Richmond Road flyover."
2025-04-25,19,4,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs LSG,33753,119403,13.12,3.02,113.93,3,150.61,85.48,83.94,88.41,2032,Heavy Rain,No,Severe,95,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 33,753 spectators). Heavy crowd movement on MG Road during peak match hours (19:00). Road DNA: 95. Reroute via Richmond Road flyover."
2025-03-27,22,3,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs MI,28050,112503,13.61,4.46,94.87,0,126.63,89.39,79.02,90.88,3345,Thunderstorm,No,High,88,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 28,050 spectators). Heavy crowd movement on Cubbon Road during peak match hours (22:00). Road DNA: 88. Reroute via Richmond Road flyover."
2025-05-04,17,5,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs DC,29244,108603,6.68,3.07,105.82,2,164.86,77.3,73.82,89.44,2324,Clear,No,High,79,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 29,244 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (17:00). Road DNA: 79. Reroute via Richmond Road flyover."
2025-05-07,21,5,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs RR,32736,112587,10.21,4.34,96.81,0,144.16,86.89,72.12,88.57,2668,Heavy Rain,No,Severe,85,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 32,736 spectators). Heavy crowd movement on MG Road during peak match hours (21:00). Road DNA: 85. Reroute via Richmond Road flyover."
2025-04-07,19,4,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs RR,32383,104168,9.88,4.2,112.9,2,174.19,87.3,83.37,98.83,1670,Clear,No,High,79,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 32,383 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (19:00). Road DNA: 79. Reroute via Richmond Road flyover."
2025-03-03,22,3,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs MI,28351,112025,13.58,3.18,112.41,0,132.04,63.85,86.72,89.27,891,Clear,Yes,High,92,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 28,351 spectators). Heavy crowd movement on Richmond Road during peak match hours (22:00). Road DNA: 92. Reroute via Richmond Road flyover."
2025-05-11,16,5,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs CSK,30102,118725,8.28,3.63,113.78,0,122.08,65.52,78.95,95.06,1506,Light Rain,Yes,Severe,81,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 30,102 spectators). Heavy crowd movement on Richmond Road during peak match hours (16:00). Road DNA: 81. Reroute via Richmond Road flyover."
2025-03-17,17,3,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs RR,29917,91983,10.71,3.58,114.22,0,173.82,62.27,88.34,98.92,2994,Light Rain,Yes,Severe,92,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 29,917 spectators). Heavy crowd movement on MG Road during peak match hours (17:00). Road DNA: 92. Reroute via Richmond Road flyover."
2025-05-02,17,5,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs GT,29437,86506,12.13,3.24,99.71,2,156.58,79.25,71.83,91.69,3462,Heavy Rain,No,Severe,87,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 29,437 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (17:00). Road DNA: 87. Reroute via Richmond Road flyover."
2025-03-23,20,3,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs MI,29608,126966,10.52,4.42,99.93,3,169.33,71.03,82.02,93.44,1195,Heavy Rain,Yes,Severe,84,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 29,608 spectators). Heavy crowd movement on Kasturba Road during peak match hours (20:00). Road DNA: 84. Reroute via Richmond Road flyover."
2025-04-15,16,4,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs SRH,34388,60135,22.71,2.13,90.59,3,174.79,80.73,85.46,86.77,2560,Thunderstorm,Yes,Medium,61,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 34,388 spectators). Heavy crowd movement on Kasturba Road during peak match hours (16:00). Road DNA: 61. Reroute via Richmond Road flyover."
2025-03-09,18,3,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs MI,32062,91809,13.71,3.52,105.17,1,182.72,75.97,76.25,91.82,1026,Light Rain,Yes,Severe,82,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 32,062 spectators). Heavy crowd movement on Residency Road during peak match hours (18:00). Road DNA: 82. Reroute via Richmond Road flyover."
2025-05-08,20,5,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs LSG,28728,100696,7.27,4.28,94.78,0,130.65,70.7,73.66,85.93,937,Heavy Rain,Yes,Severe,95,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 28,728 spectators). Heavy crowd movement on MG Road during peak match hours (20:00). Road DNA: 95. Reroute via Richmond Road flyover."
